ID,Game,Away Team,Home Team,Pick Type,Pick Team,Pick Description,Odds,Confidence,Result,Status,Start Time,Settled At,League,Market Type,Reasoning,Created At,Last Updated,Graded At,Notes,Win Loss,Is Winner,Confidence Level,Is Enhanced,Source
2025_01_NYG_WAS_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 45.5 with 63.4% confidence,,2025-10-24T23:07:21.468963+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_01_PIT_NYJ_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 91.4% confidence (FPI-adjusted),,2025-10-24T23:07:21.469094+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_01_PIT_NYJ_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 37.5 with 65.2% confidence,,2025-10-24T23:07:21.469900+00:00,,,WIN,True,LOW,True,firebase_existing
2025_01_SF_SEA_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 89.9% confidence (FPI-adjusted),,2025-10-24T23:07:21.470451+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_01_SF_SEA_spread,,,,,,,-110,,W,completed,,,NFL,,Model predicts SF covers with 55.2% confidence,,2025-10-24T23:07:21.470794+00:00,,,WIN,True,LOW,True,firebase_existing
2025_01_SF_SEA_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 43.5 with 61.2% confidence,,2025-10-24T23:07:21.471289+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_01_TB_ATL_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 86.2% confidence (FPI-adjusted),,2025-10-24T23:07:21.471595+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_01_TB_ATL_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts UNDER 47.5 with 56.7% confidence,,2025-10-24T23:07:21.472504+00:00,,,WIN,True,LOW,True,firebase_existing
2025_01_TEN_DEN_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 86.0% confidence (FPI-adjusted),,2025-10-24T23:07:21.472836+00:00,,,WIN,True,LOW,True,firebase_existing
2025_01_TEN_DEN_spread,,,,,,,-110,,L,completed,,,NFL,,Model predicts TEN covers with 57.0% confidence,,2025-10-24T23:07:21.473112+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_01_TEN_DEN_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 42.5 with 62.8% confidence,,2025-10-24T23:07:21.473619+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_02_ATL_MIN_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 55.1% confidence (FPI-adjusted),,2025-10-24T23:07:21.474152+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_02_ATL_MIN_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 44.5 with 56.8% confidence,,2025-10-24T23:07:21.474427+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_02_BUF_NYJ_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 55.4% confidence (FPI-adjusted),,2025-10-24T23:07:21.475737+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_02_BUF_NYJ_spread,,,,,,,-110,,W,completed,,,NFL,,Model predicts BUF covers with 55.1% confidence,,2025-10-24T23:07:21.476036+00:00,,,WIN,True,LOW,True,firebase_existing
2025_02_BUF_NYJ_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 47.5 with 75.6% confidence,,2025-10-24T23:07:21.476206+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_02_CAR_ARI_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 69.9% confidence (FPI-adjusted),,2025-10-24T23:07:21.476362+00:00,,,WIN,True,LOW,True,firebase_existing
2025_02_CAR_ARI_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 45.5 with 58.0% confidence,,2025-10-24T23:07:21.479212+00:00,,,WIN,True,LOW,True,firebase_existing
2025_02_CHI_DET_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 61.8% confidence (FPI-adjusted),,2025-10-24T23:07:21.479666+00:00,,,WIN,True,LOW,True,firebase_existing
2025_02_CHI_DET_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 46.5 with 72.6% confidence,,2025-10-24T23:07:21.479937+00:00,,,WIN,True,LOW,True,firebase_existing
2025_02_CLE_BAL_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 58.7% confidence (FPI-adjusted),,2025-10-24T23:07:21.480113+00:00,,,WIN,True,LOW,True,firebase_existing
2025_02_CLE_BAL_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 46.5 with 84.3% confidence,,2025-10-24T23:07:21.480265+00:00,,,WIN,True,LOW,True,firebase_existing
2025_02_DEN_IND_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 62.9% confidence (FPI-adjusted),,2025-10-24T23:07:21.480407+00:00,,,WIN,True,LOW,True,firebase_existing
2025_02_DEN_IND_spread,,,,,,,-110,,W,completed,,,NFL,,Model predicts DEN covers with 56.4% confidence,,2025-10-24T23:07:21.480546+00:00,,,WIN,True,LOW,True,firebase_existing
2025_02_DEN_IND_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts UNDER 43.5 with 54.1% confidence,,2025-10-24T23:07:21.480690+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_02_JAX_CIN_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 57.0% confidence (FPI-adjusted),,2025-10-24T23:07:21.480871+00:00,,,WIN,True,LOW,True,firebase_existing
2025_02_JAX_CIN_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 49.5 with 68.3% confidence,,2025-10-24T23:07:21.481219+00:00,,,WIN,True,LOW,True,firebase_existing
2025_02_LAC_LV_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 70.8% confidence (FPI-adjusted),,2025-10-24T23:07:21.481530+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_02_LAC_LV_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 46.5 with 64.6% confidence,,2025-10-24T23:07:21.482318+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_02_LA_TEN_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 72.6% confidence (FPI-adjusted),,2025-10-24T23:07:21.482708+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_02_LA_TEN_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 41.5 with 65.4% confidence,,2025-10-24T23:07:21.483105+00:00,,,WIN,True,LOW,True,firebase_existing
2025_02_NE_MIA_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 54.1% confidence (FPI-adjusted),,2025-10-24T23:07:21.483391+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_02_NE_MIA_spread,,,,,,,-110,,W,completed,,,NFL,,Model predicts NE covers with 60.0% confidence,,2025-10-24T23:07:21.483998+00:00,,,WIN,True,LOW,True,firebase_existing
2025_02_NE_MIA_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 43.5 with 75.5% confidence,,2025-10-24T23:07:21.484267+00:00,,,WIN,True,LOW,True,firebase_existing
2025_02_NYG_DAL_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 59.9% confidence (FPI-adjusted),,2025-10-24T23:07:21.484955+00:00,,,WIN,True,LOW,True,firebase_existing
2025_02_NYG_DAL_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 44.5 with 74.2% confidence,,2025-10-24T23:07:21.485224+00:00,,,WIN,True,LOW,True,firebase_existing
2025_02_PHI_KC_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 64.0% confidence (FPI-adjusted),,2025-10-24T23:07:21.485599+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_02_PHI_KC_spread,,,,,,,-110,,W,completed,,,NFL,,Model predicts PHI covers with 51.9% confidence,,2025-10-24T23:07:21.487554+00:00,,,WIN,True,LOW,True,firebase_existing
2025_02_PHI_KC_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 46.5 with 76.2% confidence,,2025-10-24T23:07:21.487972+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_02_SEA_PIT_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 61.1% confidence (FPI-adjusted),,2025-10-24T23:07:21.488180+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_02_SEA_PIT_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 40.5 with 87.3% confidence,,2025-10-24T23:07:21.488331+00:00,,,WIN,True,LOW,True,firebase_existing
